Date,Id,Invst_Unconsolidated_Subdrs
2012,126,49031
2013,126,50541
2014,126,437860
2015,126,455275
2016,126,445404
2017,126,489483
2018,126,521027
2019,126,524418
2020,126,567446
2008,127,0
2009,127,0
2010,127,
2011,127,
2012,127,1
2013,127,1
2014,127,1
2015,127,1
2016,127,1
2017,127,1
2018,127,1
2019,127,1
2020,127,1
2008,128,163709
2009,128,282029
2010,128,354357
2011,128,369993
2012,128,185630
2013,128,451536
2014,128,425694
2015,128,425131
2016,128,691042
2017,128,680251
2018,128,676222
2019,128,
2020,128,
2008,129,4359
2009,129,17041
2010,129,20459
2011,129,22584
2012,129,25683
2013,129,27299
2014,129,125027
2015,129,146430
2016,129,79322
2017,129,85530
2018,129,
2019,129,
2020,129,
2008,130,6717
2009,130,7736
2010,130,9108
2011,130,15427
2012,130,15009
2013,130,39104
2014,130,55949
2015,130,69041
2016,130,73047
2017,130,78753
2018,130,73602
2019,130,
2020,130,
2008,131,
2009,131,86
2010,131,0
2011,131,52
2012,131,218
2013,131,435
2014,131,482
2015,131,525
2016,131,525
2017,131,560
2018,131,596
2019,131,570
2020,131,613
2008,132,187837
2009,132,350360
2010,132,431547
2011,132,318746
2012,132,119397
2013,132,84604
2014,132,81015
2015,132,34634
2016,132,208128
2017,132,184691
2018,132,1426724
2019,132,1618000
2020,132,1399000
2008,133,2208
2009,133,15579
2010,133,23229
2011,133,34557
2012,133,22734
2013,133,19194
2014,133,21019
2015,133,43840
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,408075
2009,134,536500
2010,134,593031
2011,134,586992
2012,134,685258
2013,134,488966
2014,134,467671
2015,134,473553
2016,134,1034450
2017,134,1007179
2018,134,973323
2019,134,887135
2020,134,974003
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,5333
2013,135,142
2014,135,147
2015,135,147
2016,135,147
2017,135,43
2018,135,43
2019,135,44
2020,135,44
2008,136,740
2009,136,1018
2010,136,
2011,136,0
2012,136,0
2013,136,5
2014,136,310
2015,136,1274
2016,136,898
2017,136,1345
2018,136,1270
2019,136,1706
2020,136,5488
2008,137,0
2009,137,0
2010,137,0
2011,137,0
2012,137,0
2013,137,0
2014,137,0
2015,137,50
2016,137,50
2017,137,50
2018,137,50
2019,137,50
2020,137,50
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,72
2009,139,95
2010,139,100
2011,139,89
2012,139,25
2013,139,54
2014,139,54
2015,139,20
2016,139,0
2017,139,0
2018,139,0
2019,139,95
2020,139,0
2008,140,322
2009,140,46
2010,140,51
2011,140,29
2012,140,236
2013,140,154
2014,140,46317
2015,140,0
2016,140,0
2017,140,0
2018,140,0
2019,140,
2020,140,
2008,141,4498
2009,141,4256
2010,141,707
2011,141,858
2012,141,845
2013,141,777
2014,141,3
2015,141,3
2016,141,2
2017,141,2
2018,141,0
2019,141,0
2020,141,0
2008,142,4447
2009,142,4019
2010,142,2244
2011,142,1471
2012,142,10
2013,142,72
2014,142,62
2015,142,62
2016,142,53600
2017,142,45900
2018,142,41200
2019,142,39600
2020,142,37100
2008,143,3984
2009,143,1850
2010,143,2038
2011,143,2526
2012,143,3736
2013,143,3852
2014,143,4201
2015,143,4197
2016,143,4208
2017,143,5232
2018,143,5165
2019,143,4247
2020,143,
2008,144,4652
2009,144,3098
2010,144,3091
2011,144,2291
2012,144,829
2013,144,865
2014,144,20
2015,144,0
2016,144,838
2017,144,18928
2018,144,18383
2019,144,
2020,144,0
2008,145,1333
2009,145,1333
2010,145,1366
2011,145,1568
2012,145,1568
2013,145,1568
2014,145,1568
2015,145,1568
2016,145,1568
2017,145,1568
2018,145,1568
2019,145,860
2020,145,
2008,146,2861
2009,146,2890
2010,146,3380
2011,146,3369
2012,146,4483
2013,146,4440
2014,146,6688
2015,146,6712
2016,146,6775
2017,146,6844
2018,146,6867
2019,146,2764
2020,146,2414
2008,147,141000
2009,147,143550
2010,147,131686
2011,147,127129
2012,147,60499
2013,147,38187
2014,147,39201
2015,147,44457
2016,147,42538
2017,147,37139
2018,147,31820
2019,147,27716
2020,147,20331
2008,148,3984
2009,148,1850
2010,148,2038
2011,148,2526
2012,148,3726
2013,148,3842
2014,148,4191
2015,148,4191
2016,148,4202
2017,148,5226
2018,148,5164
2019,148,4246
2020,148,
2008,149,27750
2009,149,28334
2010,149,28602
