Date,Id,reinvestment 
2020,123,3.22
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,
2016,124,3
2017,124,3.09
2018,124,0
2019,124,0.33
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,5.49
2016,125,
2017,125,0.68
2018,125,7.06
2019,125,7.81
2020,125,2.6
2008,126,-17.32
2009,126,-5.48
2010,126,-4.76
2011,126,-3.24
2012,126,-23.47
2013,126,-11.1
2014,126,46.82
2015,126,1.46
2016,126,-1.04
2017,126,7.43
2018,126,4.16
2019,126,-0.37
2020,126,0.9
2008,127,1.41
2009,127,9.28
2010,127,7.34
2011,127,0.48
2012,127,-0.23
2013,127,1.79
2014,127,1.35
2015,127,6.54
2016,127,9.87
2017,127,10.78
2018,127,9.33
2019,127,9.66
2020,127,1.03
