Date,Id,employees
2012,146,350
2013,146,322
2014,146,312
2015,146,295
2016,146,
2017,146,
2018,146,
2019,146,348
2020,146,335
2008,147,3925
2009,147,3750
2010,147,3649
2011,147,3664
2012,147,3703
2013,147,3436
2014,147,3123
2015,147,3076
2016,147,3278
2017,147,3026
2018,147,2132
2019,147,2018
2020,147,1845
2008,148,1207
2009,148,1180
2010,148,1139
2011,148,1065
2012,148,1066
2013,148,994
2014,148,922
2015,148,867
2016,148,841
2017,148,
2018,148,833
2019,148,822
2020,148,
2008,149,3344
2009,149,3116
2010,149,2789
2011,149,2673
2012,149,2536
2013,149,2425
2014,149,2310
2015,149,2183
2016,149,1940
2017,149,2445
2018,149,2359
2019,149,2221
2020,149,
2008,150,6375
2009,150,5834
2010,150,6285
2011,150,6113
2012,150,5908
2013,150,5693
2014,150,5559
2015,150,5484
2016,150,5519
2017,150,5470
2018,150,4760
2019,150,4843
