Date,Id,dividend yield
2008,119,4.6
2009,119,0
2010,119,0
2011,119,2.12
2012,119,2.07
2013,119,1.95
2014,119,1.46
2015,119,1.26
2016,119,1.22
2017,119,0.76
2018,119,0.81
2019,119,0.78
2020,119,0.62
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,
2014,120,0
2015,120,0
2016,120,0
2017,120,0
2018,120,1.08
2019,120,1.09
2020,120,0
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,0
2014,121,2.99
2015,121,3.15
2016,121,1.57
2017,121,0.98
2018,121,1.78
2019,121,1.84
2020,121,0
2008,122,3.32
2009,122,1.29
2010,122,1.38
2011,122,2.02
2012,122,1.52
2013,122,1.2
2014,122,1.46
2015,122,0.57
2016,122,0.52
2017,122,0.5
2018,122,0.66
2019,122,0.92
2020,122,0.97
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,0
2015,123,0
2016,123,0
2017,123,0
2018,123,0
2019,123,0
2020,123,0
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,0
2016,124,0
2017,124,1.18
2018,124,0
2019,124,0
2020,124,0
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,0
2016,125,1.79
2017,125,2.05
2018,125,2.35
2019,125,1.95
2020,125,1.94
2008,126,9.01
2009,126,8.64
2010,126,0
2011,126,3.63
2012,126,0
2013,126,0
2014,126,0
2015,126,0
2016,126,0
2017,126,0
2018,126,0
2019,126,0
2020,126,0
2008,127,9.53
2009,127,5.02
2010,127,3.46
2011,127,4.84
2012,127,4.75
2013,127,5.06
2014,127,1.34
2015,127,2.25
2016,127,2.23
2017,127,2.17
2018,127,3.7
2019,127,4.93
2020,127,0
2008,128,3.6
2009,128,0.61
2010,128,1.66
2011,128,5.5
2012,128,6.06
2013,128,3.19
2014,128,4.76
2015,128,3.27
2016,128,3.95
2017,128,2.13
2018,128,3.03
2019,128,4.69
2020,128,4.69
2008,129,10.34
2009,129,4.02
2010,129,3.86
2011,129,5.44
2012,129,4.95
2013,129,3.1
2014,129,3.94
2015,129,3.92
2016,129,3.15
2017,129,3.02
2018,129,3.02
2019,129,3.02
2020,129,3.02
2008,130,2
2009,130,2.03
2010,130,2.41
2011,130,3.26
2012,130,2.48
2013,130,2.04
2014,130,1.73
2015,130,1.46
2016,130,1.52
2017,130,0
2018,130,1.18
2019,130,1.18
2020,130,1.18
2008,131,1.16
2009,131,0.94
2010,131,1.08
2011,131,1.42
2012,131,1.89
2013,131,1.73
2014,131,0.67
2015,131,2.66
2016,131,2.98
2017,131,3.08
2018,131,3.75
2019,131,4.02
2020,131,0
2008,132,5.42
2009,132,3.97
2010,132,4.65
2011,132,5.88
2012,132,5.32
2013,132,4.57
2014,132,3.86
2015,132,3.45
2016,132,4.13
2017,132,4.18
2018,132,3.6
2019,132,4.33
2020,132,0
2008,133,5.59
2009,133,2
2010,133,2.64
2011,133,5.35
2012,133,12.55
2013,133,10.36
2014,133,17.76
2015,133,15.99
2016,133,53.57
2017,133,50.68
2018,133,50.68
2019,133,50.68
2020,133,50.68
2008,134,0.92
2009,134,0.48
2010,134,0.5
2011,134,5.21
2012,134,5.25
2013,134,3.57
2014,134,4.45
2015,134,6.06
2016,134,4.35
2017,134,1.91
2018,134,2.77
2019,134,1.97
2020,134,0
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,
2013,135,
2014,135,
2015,135,0
2016,135,1.72
2017,135,1.73
2018,135,3.41
2019,135,3.7
2020,135,0
2008,136,3.03
2009,136,0
2010,136,0
2011,136,0
2012,136,5.6
2013,136,3.14
