Date,Id,funds from operations
2017,121,1841750
2018,121,1975797
2019,121,1865345
2020,121,1481805
2008,122,228665
2009,122,300725
2010,122,253641
2011,122,296367
2012,122,285122
2013,122,217248
2014,122,283205
2015,122,170244
2016,122,149909
2017,122,139773
2018,122,192118
2019,122,173871
2020,122,153028
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,-334
2015,123,469
2016,123,666
2017,123,561
2018,123,617
2019,123,4860
2020,123,4382
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,1093
2016,124,3192
2017,124,3058
2018,124,2905
2019,124,4388
2020,124,-8601
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,17567
2016,125,31076
2017,125,17247
2018,125,35413
2019,125,36586
2020,125,45906
2008,126,-109747
2009,126,171025
2010,126,89069
2011,126,36058
2012,126,1768
2013,126,-1404
2014,126,-45657
2015,126,-36732
2016,126,16681
2017,126,1424
2018,126,-9983
2019,126,-5560
2020,126,-9632
2008,127,22272
2009,127,11646
2010,127,23325
2011,127,13885
2012,127,3552
2013,127,11507
2014,127,10276
2015,127,16210
2016,127,19805
2017,127,19985
2018,127,25757
2019,127,16492
2020,127,2196
2008,128,289313
2009,128,313056
2010,128,351879
2011,128,375117
2012,128,394836
2013,128,393169
2014,128,426281
2015,128,448320
2016,128,458907
2017,128,496018
2018,128,556399
2019,128,
2020,128,
2008,129,40829
2009,129,40553
2010,129,47768
2011,129,47391
2012,129,50402
2013,129,58362
2014,129,72968
2015,129,54235
2016,129,68671
2017,129,131735
2018,129,
2019,129,
2020,129,
2008,130,73179
2009,130,110754
2010,130,114683
2011,130,60064
2012,130,95027
2013,130,106764
2014,130,114797
2015,130,127256
2016,130,119833
2017,130,110803
2018,130,141908
2019,130,
2020,130,
2008,131,5445
2009,131,6944
2010,131,7250
2011,131,9284
2012,131,11627
2013,131,6904
2014,131,8348
2015,131,16566
2016,131,21073
2017,131,22687
2018,131,25262
2019,131,25504
2020,131,-12551
2008,132,1292538
2009,132,1288808
2010,132,1413508
2011,132,1739323
2012,132,1512267
2013,132,1663468
2014,132,2075974
2015,132,2105102
2016,132,2399934
2017,132,2540240
2018,132,2984742
2019,132,4969000
2020,132,2268000
2008,133,29267
2009,133,22604
2010,133,37105
2011,133,27769
2012,133,18015
2013,133,4965
2014,133,-14633
2015,133,-4811
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,311849
2009,134,317459
2010,134,364471
2011,134,386950
2012,134,405076
2013,134,398187
2014,134,436302
2015,134,449804
2016,134,429580
2017,134,500993
2018,134,591803
2019,134,564155
2020,134,388350
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,4162
2013,135,13452
2014,135,16441
2015,135,9741
2016,135,19335
2017,135,24209
2018,135,26773
2019,135,35228
2020,135,-14518
2008,136,4339
2009,136,-4602
2010,136,654
2011,136,-2174
2012,136,3585
2013,136,-633
2014,136,3053
2015,136,12750
2016,136,16236
2017,136,22314
2018,136,16995
2019,136,5902
2020,136,14695
2008,137,3158
2009,137,2077
2010,137,4288
2011,137,4242
2012,137,4822
2013,137,5530
2014,137,4407
2015,137,5919
2016,137,7308
2017,137,5829
2018,137,10361
2019,137,11903
2020,137,2464
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,118
2009,139,1786
2010,139,3178
2011,139,8355
2012,139,3393
2013,139,3028
2014,139,6606
2015,139,7469
2016,139,14207
2017,139,19637
2018,139,11673
2019,139,15733
2020,139,14616
