Date,Id,accounting standards
2015,85,IFRS
2016,85,IFRS
2017,85,IFRS
2018,85,IFRS
2019,85,IFRS
2020,85,IFRS
2008,86,IFRS
2009,86,IFRS
2010,86,IFRS
2011,86,IFRS
2012,86,IFRS
2013,86,IFRS
2014,86,IFRS
2015,86,IFRS
2016,86,IFRS
2017,86,IFRS
2018,86,IFRS
2019,86,IFRS
2020,86,IFRS
2008,87,IFRS
2009,87,IFRS
2010,87,IFRS
2011,87,IFRS
2012,87,IFRS
2013,87,IFRS
2014,87,IFRS
2015,87,IFRS
2016,87,IFRS
2017,87,IFRS
2018,87,IFRS
2019,87,IFRS
2020,87,
2008,88,IFRS
2009,88,IFRS
2010,88,IFRS
2011,88,IFRS
2012,88,IFRS
2013,88,IFRS
2014,88,IFRS
2015,88,IFRS
2016,88,IFRS
2017,88,IFRS
2018,88,IFRS
2019,88,
2020,88,
2008,89,IFRS
2009,89,IFRS
2010,89,IFRS
2011,89,IFRS
2012,89,IFRS
2013,89,IFRS
2014,89,IFRS
2015,89,IFRS
2016,89,IFRS
2017,89,IFRS
2018,89,IFRS
2019,89,
2020,89,
2008,90,IFRS
2009,90,IFRS
2010,90,IFRS
2011,90,IFRS
2012,90,IFRS
2013,90,IFRS
2014,90,IFRS
2015,90,IFRS
2016,90,IFRS
2017,90,IFRS
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,Local standards
2013,91,Local standards
2014,91,Local standards
2015,91,IFRS
2016,91,IFRS
2017,91,IFRS
2018,91,IFRS
2019,91,IFRS
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,Local standards
2015,92,Local standards
2016,92,Local standards
2017,92,Local standards
2018,92,Local standards
2019,92,Local standards
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,IFRS
2009,95,IFRS
2010,95,IFRS
2011,95,IFRS
