Date,Id,retained earnings
2010,127,10433
2011,127,2274
2012,127,92637
2013,127,95771
2014,127,98020
2015,127,105619
2016,127,119049
2017,127,136143
2018,127,153039
2019,127,163138
2020,127,167443
2008,128,252296
2009,128,400611
2010,128,475590
2011,128,558865
2012,128,1610598
2013,128,933718
2014,128,980858
2015,128,1062952
2016,128,1154356
2017,128,1315971
2018,128,1500808
2019,128,
2020,128,
2008,129,60583
2009,129,66533
2010,129,89625
2011,129,108559
2012,129,172899
2013,129,146840
2014,129,146971
2015,129,122552
2016,129,134521
2017,129,146962
2018,129,
2019,129,
2020,129,
2008,130,211729
2009,130,273219
2010,130,260977
2011,130,301670
2012,130,347008
2013,130,424331
2014,130,461910
2015,130,522923
2016,130,559714
2017,130,619845
2018,130,692605
2019,130,
2020,130,
2008,131,2612
2009,131,2644
2010,131,3907
2011,131,4723
2012,131,6744
2013,131,46366
2014,131,49894
2015,131,79689
2016,131,62404
2017,131,63709
2018,131,68585
2019,131,69506
2020,131,56896
2008,132,3222160
2009,132,3510925
2010,132,2675622
2011,132,3024082
2012,132,3449628
2013,132,6100207
2014,132,6223950
2015,132,6452179
2016,132,6941355
2017,132,8565001
2018,132,8450756
2019,132,7784000
2020,132,6755000
2008,133,97156
2009,133,75038
2010,133,102705
2011,133,89624
2012,133,59319
2013,133,20882
2014,133,-7157
2015,133,-70248
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,826994
2009,134,821739
2010,134,856254
2011,134,943312
2012,134,1456657
2013,134,1508128
2014,134,1546065
2015,134,1592746
2016,134,1626838
2017,134,1727606
2018,134,1850467
2019,134,2505320
2020,134,2627773
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,26861
2013,135,30987
2014,135,37332
2015,135,44516
2016,135,49510
2017,135,55504
2018,135,57713
2019,135,62178
2020,135,48541
2008,136,10113
2009,136,3486
2010,136,3292
2011,136,327
2012,136,2354
2013,136,2323
2014,136,4212
2015,136,12654
2016,136,26953
2017,136,36031
2018,136,43863
2019,136,41385
2020,136,56178
