Date,Id,che
2014,213,1038
2015,213,1124
2016,213,2268
2017,213,
2018,213,
2019,213,
2020,213,
2008,214,
2009,214,
2010,214,
2011,214,
2012,214,
2013,214,651
2014,214,3344
2015,214,3323
2016,214,4461
2017,214,10706
2018,214,8181
2019,214,9438
2020,214,9867
2008,215,
2009,215,
2010,215,
2011,215,52
2012,215,128
2013,215,295
2014,215,878
2015,215,1144
2016,215,3740
2017,215,
2018,215,
2019,215,
2020,215,
2008,216,
2009,216,
2010,216,
2011,216,
2012,216,
2013,216,
2014,216,
2015,216,338
2016,216,2405
2017,216,1027
2018,216,1932
2019,216,465
2020,216,1127
2008,217,
2009,217,
2010,217,
2011,217,
2012,217,
2013,217,3049
2014,217,
2015,217,10198
2016,217,10870
2017,217,5154
2018,217,5572
2019,217,3046
2020,217,11315
2008,218,22336
2009,218,16884
2010,218,26597
2011,218,23316
2012,218,19400
2013,218,20078
2014,218,12276
2015,218,56092
2016,218,23526
2017,218,20731
2018,218,28423
2019,218,69351
2020,218,21762
2008,219,3037
2009,219,2289
2010,219,1705
2011,219,2241
2012,219,1274
2013,219,2599
2014,219,2660
2015,219,4554
2016,219,5039
2017,219,5839
2018,219,5851
2019,219,9840
2020,219,19716
2008,220,24431
2009,220,24452
2010,220,26561
2011,220,14677
2012,220,2049
2013,220,4621
2014,220,8596
2015,220,2503
2016,220,4000
2017,220,6477
2018,220,11777
2019,220,9926
2020,220,
2008,221,3712
2009,221,3822
2010,221,3730
2011,221,2246
2012,221,2682
2013,221,4559
2014,221,5178
2015,221,7082
2016,221,5463
2017,221,7999
2018,221,7003
2019,221,7141
2020,221,4441
2008,222,
2009,222,
2010,222,
2011,222,
2012,222,
2013,222,
2014,222,76
2015,222,130
2016,222,63
2017,222,6
2018,222,1
2019,222,5
2020,222,1
2008,223,
2009,223,
2010,223,
2011,223,
2012,223,
2013,223,
2014,223,36016
2015,223,24793
2016,223,16276
2017,223,15951
2018,223,
2019,223,
2020,223,
2008,224,
2009,224,
2010,224,
2011,224,
2012,224,
2013,224,
2014,224,
2015,224,
2016,224,
2017,224,
2018,224,
2019,224,
2020,224,
2008,225,
2009,225,
2010,225,33
2011,225,57
2012,225,3757
2013,225,3052
2014,225,6626
2015,225,7282
2016,225,8120
2017,225,19712
2018,225,18814
2019,225,200
2020,225,128
2008,226,30212
2009,226,1229
2010,226,363
2011,226,1617
2012,226,454
2013,226,471
2014,226,590
2015,226,492
2016,226,3192
2017,226,1654
2018,226,1922
2019,226,4029
2020,226,13296
2008,227,
2009,227,
2010,227,
2011,227,4426
2012,227,16875
2013,227,50346
2014,227,46068
2015,227,50733
2016,227,48539
2017,227,100962
2018,227,43707
2019,227,86211
2020,227,56516
2008,228,8866
2009,228,15193
2010,228,1332
2011,228,911
2012,228,679
2013,228,1161
2014,228,910
2015,228,11191
2016,228,6938
2017,228,14000
2018,228,32546
2019,228,18662
2020,228,9555
2008,229,
2009,229,
2010,229,
2011,229,2564
2012,229,1370
2013,229,3695
2014,229,4276
2015,229,13388
2016,229,13427
2017,229,17896
2018,229,26154
2019,229,
2020,229,
2008,230,
2009,230,
2010,230,
2011,230,
2012,230,2727
2013,230,4156
2014,230,3860
2015,230,22412
2016,230,8810
2017,230,4662
2018,230,6478
2019,230,6531
2020,230,17002
2008,231,4182
2009,231,2756
2010,231,4654
2011,231,2572
2012,231,5557
2013,231,3738
2014,231,4141
2015,231,5237
2016,231,4598
2017,231,1868
2018,231,2219
2019,231,1818
2020,231,2062
2008,232,186925
2009,232,216740
2010,232,102363
2011,232,115921
2012,232,111099
2013,232,176893
2014,232,225174
2015,232,280089
2016,232,285933
2017,232,296969
2018,232,381311
2019,232,463777
2020,232,558955
2008,233,16231
2009,233,22571
2010,233,5099
2011,233,2246
2012,233,21687
2013,233,101073
2014,233,134197
2015,233,103461
2016,233,93988
2017,233,8244
2018,233,8893
2019,233,26679
2020,233,
2008,234,39403
2009,234,27924
2010,234,23751
2011,234,13774
2012,234,12260
2013,234,28096
2014,234,16674
2015,234,11506
2016,234,9262
2017,234,6840
2018,234,13300
2019,234,30795
2020,234,41347
2008,235,34199
2009,235,14677
2010,235,31198
2011,235,10162
2012,235,4078
2013,235,16870
2014,235,13772
2015,235,7651
2016,235,4988
2017,235,2515
2018,235,1808
2019,235,1528
2020,235,
2008,236,4729
2009,236,546
2010,236,1394
2011,236,130
2012,236,1864
2013,236,711
2014,236,69
2015,236,133
2016,236,241
2017,236,953
2018,236,7
2019,236,3
2020,236,0
2008,237,28671
2009,237,42159
2010,237,37254
2011,237,761
2012,237,654
2013,237,1777
2014,237,1587
2015,237,3127
2016,237,42811
2017,237,153168
2018,237,27262
2019,237,21249
2020,237,27000
2008,238,37666
2009,238,19208
2010,238,4974
2011,238,2827
2012,238,24709
2013,238,10894
2014,238,9108
2015,238,35031
2016,238,8698
2017,238,51845
2018,238,30898
2019,238,18092
2020,238,7706
2008,239,81025
2009,239,134463
2010,239,91976
2011,239,127767
2012,239,113188
2013,239,127122
2014,239,47012
2015,239,110617
2016,239,71100
2017,239,88494
2018,239,181346
2019,239,336171
2020,239,295548
2008,240,9270
2009,240,5724
2010,240,5098
2011,240,4924
2012,240,10160
2013,240,8362
2014,240,3958
2015,240,2941
2016,240,3622
2017,240,3028
2018,240,4132
2019,240,3904
2020,240,11328
2008,241,54657
2009,241,21294
2010,241,43399
2011,241,37096
2012,241,26050
2013,241,19262
2014,241,12292
2015,241,30785
2016,241,30930
2017,241,32721
2018,241,33791
2019,241,29090
2020,241,26246
2008,242,232316
2009,242,206020
2010,242,191134
2011,242,229960
2012,242,181438
2013,242,188847
2014,242,204485
2015,242,191452
2016,242,197307
2017,242,200803
2018,242,251123
2019,242,365114
2020,242,676677
2008,243,
2009,243,
2010,243,
2011,243,
2012,243,
2013,243,
2014,243,
2015,243,
2016,243,
2017,243,
2018,243,
2019,243,
2020,243,
2008,244,96889
2009,244,75326
2010,244,34798
2011,244,40539
2012,244,21259
2013,244,64913
2014,244,88292
2015,244,129020
2016,244,99195
2017,244,154561
2018,244,
2019,244,
2020,244,
2008,245,
2009,245,
2010,245,
2011,245,22721
2012,245,18301
2013,245,58885
2014,245,16811
2015,245,2180
2016,245,84236
2017,245,37148
2018,245,56958
2019,245,73629
2020,245,87291
2008,246,7395542
2009,246,7335309
2010,246,5705241
2011,246,19734972
2012,246,21315760
2013,246,16513381
2014,246,25587360
2015,246,27083000
2016,246,
2017,246,
2018,246,
2019,246,
2020,246,
2008,247,
2009,247,
2010,247,
2011,247,
2012,247,
2013,247,
2014,247,
2015,247,
2016,247,
2017,247,
2018,247,
2019,247,
2020,247,
2008,248,
2009,248,
2010,248,
2011,248,
2012,248,
2013,248,
2014,248,
2015,248,
2016,248,
2017,248,
2018,248,
2019,248,
2020,248,
2008,249,72079
2009,249,114653
2010,249,101555
2011,249,59839
2012,249,34822
2013,249,31560
2014,249,60663
2015,249,131000
2016,249,100680
2017,249,132301
2018,249,150083
2019,249,113703
2020,249,137863
2008,250,
2009,250,
2010,250,
2011,250,
2012,250,
2013,250,
2014,250,
2015,250,
2016,250,
2017,250,47323
2018,250,51583
2019,250,53738
2020,250,35270
2008,251,
2009,251,
2010,251,
2011,251,
2012,251,
2013,251,
2014,251,
2015,251,
2016,251,
2017,251,
2018,251,
2019,251,
2020,251,
2008,252,
2009,252,
2010,252,
2011,252,
2012,252,
2013,252,
2014,252,
2015,252,
2016,252,
2017,252,
2018,252,
2019,252,
2020,252,
2008,253,
2009,253,
2010,253,
2011,253,
2012,253,
2013,253,7156
2014,253,3106
2015,253,19018
2016,253,118145
2017,253,109105
2018,253,116944
2019,253,144871
2020,253,186898
2008,254,23483
2009,254,27026
2010,254,21499
2011,254,26851
2012,254,23554
2013,254,14902
2014,254,23730
2015,254,33268
2016,254,42908
2017,254,77489
2018,254,67876
2019,254,34654
2020,254,122371
2008,255,5
2009,255,438
2010,255,1938
2011,255,45
2012,255,44
2013,255,1406
2014,255,4102
2015,255,1132
2016,255,1756
2017,255,1058
2018,255,2058
2019,255,2780
2020,255,2789
2008,256,
2009,256,
2010,256,
2011,256,
2012,256,
2013,256,
2014,256,
2015,256,
2016,256,
2017,256,
2018,256,
2019,256,
2020,256,
2008,257,
2009,257,
2010,257,
2011,257,
2012,257,
2013,257,38827
2014,257,41560
2015,257,68345
2016,257,53889
2017,257,77935
2018,257,78718
2019,257,114497
2020,257,203629
2008,258,
2009,258,
2010,258,
2011,258,
2012,258,
2013,258,
2014,258,
2015,258,
2016,258,3685
2017,258,21514
2018,258,17930
2019,258,11836
2020,258,18256
2008,259,
2009,259,
2010,259,
2011,259,
2012,259,
2013,259,
2014,259,
2015,259,
2016,259,
2017,259,
2018,259,
2019,259,
2020,259,
2008,260,
2009,260,
2010,260,
2011,260,
2012,260,
2013,260,
2014,260,
2015,260,
2016,260,
2017,260,
2018,260,
2019,260,
2020,260,
2008,261,
2009,261,
2010,261,
2011,261,
2012,261,
2013,261,
2014,261,
2015,261,
2016,261,
2017,261,
2018,261,
2019,261,
2020,261,
2008,262,
2009,262,
2010,262,
2011,262,
2012,262,
2013,262,94301
2014,262,119733
2015,262,174141
2016,262,232228
2017,262,263650
2018,262,325318
2019,262,474245
2020,262,325895
2008,263,306534
2009,263,293909
2010,263,243226
2011,263,176218
2012,263,202046
2013,263,198465
2014,263,111173
2015,263,115452
2016,263,122176
2017,263,75142
2018,263,101135
2019,263,
2020,263,
2008,264,
2009,264,
2010,264,
2011,264,
2012,264,
2013,264,1197963
2014,264,913918
2015,264,1286781
2016,264,455675
2017,264,326617
2018,264,655523
2019,264,485144
2020,264,432383
2008,265,
2009,265,
2010,265,
2011,265,
2012,265,125
2013,265,
2014,265,1699
2015,265,16552
2016,265,9512
2017,265,5883
2018,265,4890
2019,265,8383
2020,265,17249
2008,266,
2009,266,
2010,266,
2011,266,
2012,266,
2013,266,
2014,266,
2015,266,2675
2016,266,5726
2017,266,7005
2018,266,9740
2019,266,6870
2020,266,8689
2008,267,
2009,267,
2010,267,
2011,267,
2012,267,
2013,267,
2014,267,
2015,267,
2016,267,
2017,267,
2018,267,
2019,267,
2020,267,
2008,268,
2009,268,
