Date,Id,historic volatility
2016,110,1.054
2017,110,1.301
2018,110,1.3132
2019,110,1.3101
2020,110,1.3294
2008,111,0.3377
2009,111,0.2531
2010,111,0.261
2011,111,0.1824
2012,111,0.2067
2013,111,0.2548
2014,111,0.2663
2015,111,0.3753
2016,111,0.3747
2017,111,0.3547
2018,111,0.5862
2019,111,0.6091
2020,111,0.5616
2008,112,0.1486
2009,112,0.1648
2010,112,0.178
2011,112,0.1774
2012,112,0.1673
2013,112,0.1931
2014,112,0.228
2015,112,0.2456
2016,112,0.2496
2017,112,0.258
2018,112,0.2887
2019,112,0.2813
2020,112,0.2849
2008,113,0.4484
2009,113,0.472
2010,113,0.4475
2011,113,0.5023
2012,113,0.4943
2013,113,0.4591
2014,113,0.454
2015,113,0.4747
2016,113,0.3928
2017,113,0.3618
2018,113,0.4223
2019,113,0.4623
2020,113,0.476
2008,114,0.5223
2009,114,0.5636
2010,114,0.5661
2011,114,0.5553
2012,114,0.433
2013,114,0.3577
2014,114,0.2829
2015,114,0.4814
2016,114,0.4913
2017,114,0.4905
2018,114,0.5266
2019,114,0.5521
2020,114,0.4262
2008,115,0.3157
2009,115,0.3371
2010,115,0.3235
2011,115,0.3346
2012,115,0.3475
2013,115,0.3162
2014,115,0.3034
2015,115,0.3108
2016,115,0.2767
2017,115,0.2298
2018,115,0.2081
2019,115,0.1376
2020,115,0.0617
2008,116,0.281
2009,116,0.3693
2010,116,0.3757
2011,116,0.3958
2012,116,0.4093
