Date,Id,total liabilities
2015,123,13906
2016,123,15674
2017,123,19104
2018,123,58391
2019,123,66225
2020,123,72930
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,40866
2016,124,43692
2017,124,55650
2018,124,57161
2019,124,63381
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,187930
2016,125,233709
2017,125,255816
2018,125,300573
2019,125,382002
2020,125,455950
2008,126,1130237
2009,126,1311813
2010,126,1517003
2011,126,1458936
2012,126,1454182
2013,126,1427179
2014,126,126020
2015,126,164870
2016,126,153509
2017,126,138725
2018,126,130582
2019,126,128467
2020,126,115026
2008,127,155618
2009,127,198187
2010,127,246288
2011,127,322182
2012,127,278133
2013,127,310714
2014,127,319264
2015,127,315959
2016,127,300985
2017,127,299303
2018,127,297354
2019,127,303845
2020,127,293784
2008,128,2740214
2009,128,2723422
2010,128,3195013
2011,128,3186767
2012,128,3386010
2013,128,3476148
2014,128,3850308
2015,128,3605674
2016,128,3367706
2017,128,2776472
2018,128,3358465
2019,128,
2020,128,
2008,129,208049
2009,129,215590
2010,129,214112
2011,129,230371
2012,129,265823
2013,129,419479
2014,129,314528
2015,129,381019
2016,129,395377
2017,129,388602
2018,129,
2019,129,
2020,129,
2008,130,853298
2009,130,1036195
2010,130,1192971
2011,130,1274776
2012,130,1358256
2013,130,1145184
2014,130,1220819
2015,130,1204908
2016,130,1221092
2017,130,1245240
2018,130,1245444
2019,130,
2020,130,
2008,131,36049
2009,131,38543
2010,131,57556
2011,131,61651
2012,131,62754
2013,131,68496
2014,131,77259
2015,131,129838
2016,131,123507
2017,131,133222
2018,131,133121
2019,131,146515
2020,131,220187
2008,132,11933377
2009,132,13792834
2010,132,19343914
2011,132,17317397
2012,132,23022796
2013,132,26385000
2014,132,24096514
2015,132,24063610
2016,132,27369471
2017,132,27036119
2018,132,61734708
2019,132,64602000
2020,132,69827000
2008,133,237974
2009,133,312888
2010,133,317065
2011,133,357321
2012,133,356628
2013,133,345980
2014,133,402859
2015,133,382057
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,2655700
2009,134,2643548
2010,134,3117918
2011,134,3101083
2012,134,3636185
2013,134,3385961
2014,134,3755554
2015,134,3515589
2016,134,3664599
2017,134,3160274
2018,134,3952755
2019,134,4462843
2020,134,4268705
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,87618
2013,135,89166
2014,135,80455
2015,135,92994
2016,135,86515
2017,135,81642
2018,135,80958
2019,135,84635
2020,135,120862
2008,136,80322
2009,136,79600
2010,136,78249
2011,136,74037
2012,136,60473
2013,136,49704
2014,136,49769
2015,136,45349
2016,136,58010
2017,136,40428
2018,136,29798
2019,136,56592
2020,136,72237
2008,137,4038
2009,137,3928
2010,137,6962
2011,137,7783
2012,137,7405
2013,137,5935
2014,137,13237
