Date,Id,other proceeds
2013,104,0
2014,104,0
2015,104,0
2016,104,0
2017,104,0
2018,104,0
2019,104,0
2020,104,0
2008,105,
2009,105,
2010,105,0
2011,105,0
2012,105,0
2013,105,0
2014,105,0
2015,105,0
2016,105,0
2017,105,0
2018,105,0
2019,105,0
2020,105,0
2008,106,
2009,106,81
2010,106,1
2011,106,56840
2012,106,293
2013,106,0
2014,106,89
2015,106,919
2016,106,0
2017,106,0
2018,106,0
2019,106,0
2020,106,0
2008,107,0
2009,107,0
2010,107,0
2011,107,15014
2012,107,1
2013,107,17359
2014,107,2502
2015,107,5000
2016,107,10000
2017,107,0
2018,107,0
2019,107,0
2020,107,135
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,134600
2014,108,0
2015,108,0
2016,108,0
2017,108,0
2018,108,97712
2019,108,0
2020,108,0
2008,109,
2009,109,
2010,109,18008
2011,109,
2012,109,
2013,109,27019
2014,109,0
2015,109,0
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,0
2009,110,2585
2010,110,0
2011,110,152
2012,110,7537
2013,110,0
2014,110,32125
2015,110,1444
2016,110,0
2017,110,1669
2018,110,300
2019,110,65
2020,110,
2008,111,0
2009,111,0
2010,111,0
2011,111,166
2012,111,0
2013,111,0
2014,111,0
2015,111,0
2016,111,0
2017,111,0
2018,111,0
2019,111,263
2020,111,0
2008,112,57
2009,112,0
2010,112,3544
2011,112,35849
2012,112,0
2013,112,798
2014,112,0
2015,112,27913
2016,112,90513
2017,112,0
2018,112,0
2019,112,0
2020,112,
2008,113,-6839
2009,113,0
2010,113,0
2011,113,0
2012,113,0
2013,113,0
2014,113,0
2015,113,4498
2016,113,0
2017,113,0
2018,113,0
2019,113,0
2020,113,0
2008,114,
2009,114,
2010,114,0
2011,114,0
2012,114,0
2013,114,0
2014,114,0
2015,114,0
2016,114,0
2017,114,0
2018,114,0
2019,114,0
2020,114,
2008,115,303
2009,115,0
2010,115,0
2011,115,0
2012,115,0
2013,115,0
2014,115,0
2015,115,0
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,23
2009,116,
2010,116,0
2011,116,0
2012,116,0
2013,116,3084
2014,116,0
2015,116,0
2016,116,0
2017,116,0
2018,116,0
2019,116,3146
2020,116,0
2008,117,0
2009,117,0
2010,117,10011
2011,117,0
2012,117,0
2013,117,0
2014,117,0
2015,117,0
2016,117,0
2017,117,0
2018,117,0
2019,117,0
2020,117,23900
2008,118,0
2009,118,0
2010,118,0
2011,118,0
2012,118,0
2013,118,0
2014,118,0
2015,118,0
2016,118,0
2017,118,6460
2018,118,0
2019,118,0
2020,118,0
2008,119,6715
2009,119,13553
2010,119,3344
2011,119,4497
2012,119,58585
2013,119,42127
2014,119,11652
2015,119,69057
2016,119,15006
2017,119,3376
2018,119,540
2019,119,3823
2020,119,14480
2008,120,
2009,120,
2010,120,
2011,120,0
2012,120,0
2013,120,0
2014,120,0
2015,120,0
2016,120,0
2017,120,0
2018,120,0
2019,120,0
2020,120,0
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,10000
2013,121,9000
2014,121,13632
2015,121,21760
2016,121,0
2017,121,11412
2018,121,0
2019,121,0
2020,121,0
2008,122,0
2009,122,0
2010,122,0
2011,122,0
2012,122,0
2013,122,0
2014,122,0
2015,122,0
2016,122,0
2017,122,0
2018,122,0
2019,122,0
2020,122,0
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,1500
2015,123,0
2016,123,0
2017,123,0
2018,123,348
2019,123,0
2020,123,0
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,7362
2016,124,0
2017,124,905
2018,124,658
2019,124,122
2020,124,98
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,51176
2016,125,0
2017,125,208
2018,125,0
2019,125,1618
2020,125,0
2008,126,0
2009,126,6
2010,126,22860
2011,126,57
2012,126,0
2013,126,0
2014,126,370
2015,126,0
2016,126,0
2017,126,0
2018,126,0
2019,126,0
2020,126,0
2008,127,0
2009,127,0
2010,127,0
2011,127,0
2012,127,0
2013,127,0
2014,127,0
2015,127,0
2016,127,0
2017,127,0
2018,127,0
2019,127,0
2020,127,0
2008,128,0
2009,128,0
2010,128,0
2011,128,0
2012,128,0
2013,128,0
2014,128,0
2015,128,0
2016,128,0
2017,128,0
2018,128,0
2019,128,
2020,128,
2008,129,0
2009,129,0
2010,129,0
2011,129,0
2012,129,0
2013,129,3000
2014,129,0
2015,129,0
2016,129,0
2017,129,0
2018,129,
2019,129,
2020,129,
2008,130,
2009,130,0
2010,130,0
2011,130,0
2012,130,0
2013,130,0
2014,130,0
2015,130,0
2016,130,0
2017,130,0
2018,130,0
2019,130,
2020,130,
2008,131,0
2009,131,0
2010,131,0
2011,131,0
2012,131,0
2013,131,67
2014,131,0
2015,131,0
2016,131,0
2017,131,0
2018,131,0
2019,131,0
2020,131,0
2008,132,
2009,132,0
2010,132,0
2011,132,0
2012,132,0
2013,132,5346
2014,132,3096
2015,132,231221
2016,132,0
2017,132,0
2018,132,0
2019,132,0
2020,132,1242000
2008,133,0
2009,133,0
2010,133,34674
2011,133,0
2012,133,0
2013,133,0
2014,133,0
2015,133,0
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,0
2009,134,0
2010,134,0
2011,134,0
2012,134,0
2013,134,0
2014,134,0
2015,134,0
2016,134,0
2017,134,0
2018,134,0
2019,134,0
2020,134,0
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,0
2013,135,0
2014,135,0
2015,135,28036
2016,135,0
2017,135,0
2018,135,0
2019,135,0
2020,135,0
2008,136,0
2009,136,0
2010,136,0
2011,136,0
2012,136,0
2013,136,0
2014,136,0
2015,136,375
2016,136,809
2017,136,390
2018,136,0
2019,136,0
2020,136,0
2008,137,
2009,137,
2010,137,0
2011,137,0
2012,137,1485
2013,137,0
2014,137,0
2015,137,0
2016,137,1225
2017,137,750
2018,137,106
2019,137,0
2020,137,0
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,539
2009,139,0
2010,139,0
2011,139,0
2012,139,11196
2013,139,552
2014,139,1981
2015,139,6063
