Date,Id,inventories
2020,112,
2008,113,103678
2009,113,65654
2010,113,81326
2011,113,88459
2012,113,90321
2013,113,86273
2014,113,98051
2015,113,111374
2016,113,130785
2017,113,143210
2018,113,162786
2019,113,155498
2020,113,129848
2008,114,21615
2009,114,15650
2010,114,14053
2011,114,19554
2012,114,19991
2013,114,16661
2014,114,18718
2015,114,19825
2016,114,19375
2017,114,17846
2018,114,18419
2019,114,17278
2020,114,
2008,115,20511
2009,115,15552
2010,115,18082
2011,115,19999
2012,115,21763
2013,115,22430
2014,115,25479
2015,115,24862
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,27893
2009,116,21447
2010,116,26306
2011,116,26963
2012,116,24098
2013,116,28296
2014,116,30867
2015,116,31179
2016,116,31652
2017,116,33084
2018,116,39590
2019,116,35727
2020,116,40256
2008,117,45765
2009,117,42013
2010,117,42316
2011,117,42148
2012,117,44836
2013,117,48103
2014,117,60639
2015,117,62755
2016,117,70518
2017,117,69893
2018,117,73599
2019,117,86244
2020,117,85602
2008,118,203602
2009,118,136741
2010,118,179780
2011,118,197651
2012,118,146754
2013,118,145849
2014,118,146745
2015,118,118086
2016,118,90665
2017,118,122892
2018,118,118409
2019,118,123212
2020,118,118998
2008,119,120031
2009,119,100784
2010,119,108004
2011,119,117021
2012,119,131692
2013,119,145994
2014,119,182463
2015,119,238637
2016,119,257545
2017,119,291701
2018,119,366480
2019,119,408443
2020,119,376596
2008,120,
2009,120,
2010,120,
2011,120,1253937
2012,120,790122
2013,120,1930388
2014,120,2037745
2015,120,2959030
2016,120,1970124
2017,120,2830541
2018,120,3412367
2019,120,3525660
2020,120,4006053
2008,121,
2009,121,
2010,121,
2011,121,4865000
2012,121,4843000
2013,121,5464000
2014,121,5904780
2015,121,5341800
2016,121,5433936
2017,121,5381802
2018,121,5858968
2019,121,6301980
2020,121,4914000
2008,122,1020123
2009,122,1027751
2010,122,954673
2011,122,866201
2012,122,1033451
2013,122,1140567
2014,122,1116610
2015,122,1060689
2016,122,926775
2017,122,956708
2018,122,1009653
2019,122,1127028
2020,122,1182464
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,3431
2015,123,3652
2016,123,3536
2017,123,4569
2018,123,13245
2019,123,14487
2020,123,17494
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,9049
2016,124,10383
2017,124,11532
2018,124,18780
2019,124,20084
2020,124,12340
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,24625
2016,125,30914
2017,125,37988
2018,125,44667
2019,125,61812
2020,125,56647
2008,126,432432
2009,126,475814
2010,126,625844
2011,126,614063
2012,126,570993
2013,126,525593
2014,126,0
2015,126,0
2016,126,0
2017,126,0
2018,126,0
2019,126,0
2020,126,0
2008,127,304
2009,127,302
2010,127,294
2011,127,249
2012,127,222
2013,127,281
2014,127,352
2015,127,331
2016,127,385
2017,127,505
2018,127,490
2019,127,399
2020,127,496
2008,128,27715
2009,128,27764
2010,128,15257
2011,128,34820
2012,128,28371
2013,128,33768
2014,128,32411
2015,128,31091
2016,128,22007
2017,128,23847
2018,128,29690
2019,128,
2020,128,
2008,129,11822
2009,129,13138
2010,129,14725
2011,129,12619
2012,129,13694
2013,129,1225
2014,129,1200
2015,129,1285
2016,129,1239
2017,129,1397
2018,129,
2019,129,
2020,129,
2008,130,238555
2009,130,250324
2010,130,344560
2011,130,413238
2012,130,444680
2013,130,403430
2014,130,410281
2015,130,467570
2016,130,483932
2017,130,490585
2018,130,119328
2019,130,
2020,130,
2008,131,
2009,131,
2010,131,1
2011,131,54
2012,131,5
2013,131,0
2014,131,0
2015,131,0
2016,131,0
2017,131,0
2018,131,0
2019,131,0
2020,131,0
2008,132,64789
2009,132,76738
2010,132,81654
2011,132,95472
2012,132,93445
2013,132,82585
2014,132,79711
2015,132,73863
2016,132,68266
2017,132,95002
2018,132,118470
2019,132,128000
2020,132,162000
2008,133,2734
2009,133,3910
2010,133,3908
2011,133,6159
2012,133,5033
2013,133,2664
2014,133,1749
2015,133,692
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,27715
2009,134,27764
2010,134,15257
2011,134,61479
2012,134,54763
2013,134,50616
2014,134,37873
2015,134,35072
2016,134,117068
2017,134,156334
2018,134,234225
2019,134,286096
2020,134,361796
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,595
2013,135,548
2014,135,487
2015,135,467
2016,135,519
2017,135,538
2018,135,594
2019,135,622
2020,135,676
2008,136,52644
2009,136,54980
2010,136,48034
2011,136,37316
2012,136,36547
2013,136,20683
2014,136,14779
2015,136,12881
2016,136,11933
2017,136,12815
2018,136,15059
2019,136,13909
2020,136,7989
2008,137,3967
2009,137,2845
2010,137,5052
2011,137,5987
2012,137,6575
2013,137,6356
2014,137,8019
2015,137,8813
2016,137,8182
2017,137,13216
2018,137,14001
2019,137,13492
2020,137,12254
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,3332
2009,139,2955
2010,139,1974
2011,139,2222
2012,139,0
2013,139,0
2014,139,0
2015,139,0
2016,139,0
2017,139,0
2018,139,0
2019,139,0
2020,139,0
2008,140,2078
2009,140,2814
2010,140,1286
2011,140,1863
2012,140,1969
2013,140,302
2014,140,18
2015,140,0
2016,140,0
2017,140,0
2018,140,0
2019,140,
2020,140,
2008,141,4837
2009,141,3797
2010,141,3322
2011,141,3810
2012,141,3316
2013,141,2317
2014,141,2345
2015,141,2314
2016,141,1732
2017,141,1324
2018,141,1743
2019,141,1651
2020,141,1592
2008,142,4454
2009,142,4311
2010,142,2952
2011,142,3389
2012,142,3857
2013,142,4104
2014,142,3296
2015,142,3141
2016,142,21500
2017,142,19100
2018,142,24600
2019,142,39900
2020,142,26800
2008,143,13060
2009,143,6057
2010,143,9302
