Date,Id,Net_income
2020,94,
2008,95,-14536
2009,95,29153
2010,95,30527
2011,95,42698
2012,95,43182
2013,95,12848
2014,95,46475
2015,95,46805
2016,95,63620
2017,95,100578
2018,95,100443
2019,95,108666
2020,95,101004
2008,96,-51114
2009,96,-24461
2010,96,-4963
2011,96,-44371
2012,96,-11894
2013,96,-4180
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,-1612
2009,97,-3430
2010,97,-18167
2011,97,-47195
2012,97,13621
2013,97,3340
2014,97,49
2015,97,-842
2016,97,132
2017,97,-2156
2018,97,1024
2019,97,598
2020,97,-1921
2008,98,37459
2009,98,70047
2010,98,90418
2011,98,99607
2012,98,87396
2013,98,83028
2014,98,84074
2015,98,100420
2016,98,112383
2017,98,139878
2018,98,158128
2019,98,175735
2020,98,248296
2008,99,2449
2009,99,3720
2010,99,5592
2011,99,307
2012,99,-2168
2013,99,-10955
2014,99,1896
2015,99,2410
2016,99,2306
2017,99,-18335
2018,99,
2019,99,
2020,99,
2008,100,40160
2009,100,32357
2010,100,74915
2011,100,90248
2012,100,117987
2013,100,116921
2014,100,126532
2015,100,149533
2016,100,167411
2017,100,178263
2018,100,184702
2019,100,161005
2020,100,200133
2008,101,393
2009,101,733
2010,101,-104
2011,101,-380
2012,101,-1715
2013,101,562
2014,101,-1272
2015,101,294
2016,101,503
2017,101,-86
2018,101,-906
2019,101,-2
2020,101,3495
2008,102,3579
2009,102,231
2010,102,4262
2011,102,4162
2012,102,5008
2013,102,1357
2014,102,2592
2015,102,6190
2016,102,-5563
2017,102,166
2018,102,-961
2019,102,3063
2020,102,-1787
2008,103,-23492
2009,103,-9865
2010,103,-18657
2011,103,-2841
2012,103,876
2013,103,-746
2014,103,4146
2015,103,4083
2016,103,2703
2017,103,-5251
2018,103,-48539
2019,103,
2020,103,
2008,104,6446
2009,104,7533
2010,104,7243
2011,104,9097
2012,104,7779
2013,104,3263
2014,104,3526
2015,104,4119
2016,104,3946
2017,104,3435
2018,104,4840
2019,104,34535
2020,104,-7714
2008,105,737
2009,105,-1385
2010,105,-817
2011,105,-696
2012,105,44
2013,105,76
2014,105,36
2015,105,-1070
2016,105,-394
2017,105,741
2018,105,-416
2019,105,-391
2020,105,318
2008,106,14822
2009,106,9383
2010,106,11570
2011,106,5755
2012,106,8421
2013,106,10326
2014,106,10467
2015,106,8846
2016,106,17595
2017,106,16165
2018,106,25397
2019,106,12949
2020,106,19300
2008,107,-37924
2009,107,-47146
2010,107,-20517
2011,107,-15960
2012,107,-9351
2013,107,-13769
2014,107,-34130
2015,107,-19531
2016,107,4464
2017,107,3555
2018,107,4302
2019,107,2472
2020,107,65436
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,-670
2014,108,-461
2015,108,-16663
2016,108,20993
2017,108,15767
2018,108,8747
2019,108,24000
2020,108,8607
2008,109,
2009,109,7586
2010,109,12134
2011,109,13820
2012,109,18197
2013,109,11913
2014,109,16525
2015,109,27124
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,-4264
2009,110,-8888
2010,110,-9455
2011,110,-3012
2012,110,-1596
2013,110,-3757
2014,110,2
2015,110,-893
2016,110,-1666
2017,110,301
2018,110,-172
2019,110,-416
2020,110,15
2008,111,8917
2009,111,-13448
2010,111,-6111
2011,111,-4186
2012,111,-3005
2013,111,-3627
2014,111,-9551
2015,111,-5618
2016,111,-2643
2017,111,-934
2018,111,-565
2019,111,2670
2020,111,5036
2008,112,41034
2009,112,36857
2010,112,16996
2011,112,27990
2012,112,47704
2013,112,51540
2014,112,51562
2015,112,69915
2016,112,93536
2017,112,85590
2018,112,104032
2019,112,169248
2020,112,
2008,113,19987
2009,113,-26696
2010,113,-5392
2011,113,-2438
2012,113,-6530
2013,113,6435
2014,113,13766
2015,113,20971
2016,113,29384
2017,113,42558
2018,113,43672
2019,113,13027
2020,113,2531
2008,114,-1850
2009,114,-55
2010,114,690
2011,114,407
2012,114,-45
2013,114,-1435
2014,114,2894
2015,114,2723
2016,114,2462
2017,114,-3066
2018,114,-1314
2019,114,-4118
2020,114,
2008,115,3104
2009,115,-8312
2010,115,-438
2011,115,1592
2012,115,1799
2013,115,123
2014,115,1044
2015,115,4782
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,15410
2009,116,11583
2010,116,16867
2011,116,10775
2012,116,4196
2013,116,8104
2014,116,8338
2015,116,8998
2016,116,9009
2017,116,14835
2018,116,15614
2019,116,9915
2020,116,13961
2008,117,7134
2009,117,7368
2010,117,5243
2011,117,6590
2012,117,8133
2013,117,4384
2014,117,4909
2015,117,6931
2016,117,-3944
2017,117,-1430
2018,117,28
2019,117,2967
2020,117,-6828
2008,118,11310
2009,118,-45856
2010,118,-7228
2011,118,5036
2012,118,-15299
2013,118,1290
2014,118,-7913
2015,118,-8915
2016,118,-9087
2017,118,13668
2018,118,12187
2019,118,8121
2020,118,-3271
2008,119,39228
2009,119,13903
2010,119,26509
2011,119,41232
2012,119,51418
2013,119,43201
2014,119,56936
2015,119,117639
2016,119,93850
2017,119,134442
2018,119,172905
2019,119,179170
2020,119,170980
2008,120,
2009,120,
2010,120,
2011,120,7666
2012,120,15343
2013,120,56717
2014,120,66935
2015,120,-174607
2016,120,25491
2017,120,57140
2018,120,72440
2019,120,-141242
2020,120,-240057
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,791000
2013,121,789000
2014,121,694481
2015,121,213972
2016,121,-337945
2017,121,403816
2018,121,1161035
2019,121,781924
2020,121,-653738
2008,122,145610
2009,122,135133
2010,122,201040
2011,122,192461
2012,122,190366
2013,122,162521
2014,122,153456
2015,122,161801
2016,122,88305
2017,122,50540
2018,122,58374
2019,122,67016
2020,122,79264
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,119
2015,123,372
2016,123,414
2017,123,-178
2018,123,-1680
2019,123,917
2020,123,775
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,2307
2016,124,720
2017,124,488
2018,124,-1
2019,124,55
2020,124,-10271
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,9099
2016,125,15846
2017,125,5642
2018,125,15407
2019,125,17573
2020,125,9878
2008,126,-68651
2009,126,-23929
2010,126,-18351
2011,126,-14292
2012,126,-78732
2013,126,-26920
2014,126,155851
2015,126,6169
2016,126,-4378
2017,126,35402
2018,126,20866
2019,126,-1868
2020,126,4523
2008,127,4792
2009,127,12587
2010,127,11344
2011,127,4018
2012,127,-246
2013,127,2809
2014,127,3247
2015,127,9321
2016,127,15088
2017,127,19643
2018,127,21353
2019,127,16620
2020,127,4030
2008,128,76917
2009,128,134836
2010,128,150034
2011,128,152594
2012,128,492980
2013,128,138760
2014,128,143148
2015,128,160690
2016,128,161957
2017,128,238272
2018,128,264502
2019,128,
2020,128,
2008,129,14155
