Date,Id,market value
2015,96,43.56
2016,96,43.56
2017,96,43.56
2018,96,43.56
2019,96,43.56
2020,96,43.56
2008,97,96.77
2009,97,63.03
2010,97,39.05
2011,97,7.08
2012,97,10.11
2013,97,11.16
2014,97,17.86
2015,97,19.88
2016,97,23.76
2017,97,23.29
2018,97,22.06
2019,97,23.2
2020,97,25.47
2008,98,784.3
2009,98,1368.4
2010,98,1793.88
2011,98,1085.56
2012,98,1691.54
2013,98,1907.28
2014,98,1864.76
2015,98,2710.69
2016,98,3147.09
2017,98,4140.17
2018,98,3955.54
2019,98,6456.43
2020,98,9516.8
2008,99,
2009,99,104.94
2010,99,58.94
2011,99,35.31
2012,99,35.01
2013,99,40.6
2014,99,67.96
2015,99,63.49
2016,99,64.04
2017,99,74.25
2018,99,74.25
2019,99,74.25
2020,99,74.25
2008,100,215.28
2009,100,472.79
2010,100,879.06
2011,100,1021.09
2012,100,1632.54
2013,100,1774.56
2014,100,2238.01
2015,100,4136.66
2016,100,3375.71
2017,100,3771.88
2018,100,3303.95
2019,100,2818.07
2020,100,3881.14
2008,101,14.81
2009,101,14.24
2010,101,14
2011,101,20.54
2012,101,17.81
2013,101,18.37
2014,101,17.5
2015,101,15.63
2016,101,19.84
2017,101,23.29
2018,101,23.36
2019,101,19.07
2020,101,11.17
2008,102,52.56
2009,102,121.71
2010,102,90.87
2011,102,49.17
2012,102,63.32
2013,102,106
2014,102,105.5
2015,102,125.7
2016,102,117.46
2017,102,153.37
2018,102,82.57
2019,102,193.77
2020,102,195.67
2008,103,19.91
2009,103,37.09
2010,103,27.68
2011,103,19.13
2012,103,14.09
2013,103,16.84
2014,103,40.54
2015,103,40.85
2016,103,39.98
2017,103,56.3
2018,103,31.88
2019,103,30.41
2020,103,20.74
2008,104,37
2009,104,57.25
2010,104,93.9
2011,104,77.1
2012,104,78.9
2013,104,89.6
2014,104,70.75
2015,104,66.85
2016,104,57.2
2017,104,90.3
2018,104,84.25
2019,104,123.5
2020,104,75
2008,105,5.8
2009,105,14.17
2010,105,16.38
2011,105,9.12
2012,105,11.11
2013,105,15.38
2014,105,13.99
2015,105,10.99
2016,105,6.69
2017,105,13.29
2018,105,9.05
2019,105,6.88
2020,105,6.77
2008,106,109.44
2009,106,96.37
2010,106,122.78
2011,106,80.49
2012,106,88.69
2013,106,134.43
2014,106,140.9
2015,106,126.15
2016,106,149.18
2017,106,235.25
2018,106,205.25
2019,106,149.51
2020,106,180
2008,107,15.6
2009,107,11.07
2010,107,11.34
2011,107,19.46
2012,107,14.71
2013,107,27.81
2014,107,20.19
2015,107,15.31
2016,107,7.54
2017,107,9.75
2018,107,7.39
2019,107,7.37
2020,107,6.85
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,127.4
2014,108,124.8
2015,108,352.24
2016,108,470.76
2017,108,684.19
2018,108,577.65
2019,108,615.57
2020,108,393.93
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,339.2
2014,109,211.65
2015,109,361.13
2016,109,523.13
2017,109,522.69
2018,109,522.69
2019,109,522.69
2020,109,522.69
2008,110,38
2009,110,10.91
2010,110,5.36
2011,110,1
2012,110,4.36
2013,110,4.53
2014,110,2.21
2015,110,1.48
2016,110,0.58
2017,110,5.14
2018,110,2.3
2019,110,2.31
2020,110,2.51
2008,111,1.15
2009,111,1.23
2010,111,1.23
2011,111,1.2
2012,111,0.87
2013,111,0.86
2014,111,0.76
2015,111,0.35
2016,111,0.31
2017,111,0.28
2018,111,1.08
2019,111,1.18
2020,111,1.06
2008,112,478.69
2009,112,438.53
2010,112,499.22
2011,112,486.87
2012,112,530.32
2013,112,1031.18
2014,112,1336.86
2015,112,1800.1
2016,112,2261.38
2017,112,2661.83
2018,112,2135.74
2019,112,2516.57
2020,112,2934.13
2008,113,105.67
2009,113,145.87
2010,113,148.88
2011,113,78.23
2012,113,68.04
2013,113,144.22
2014,113,256.4
2015,113,436.1
2016,113,524.3
2017,113,1158.73
2018,113,470.34
2019,113,406.79
2020,113,515.81
2008,114,14.45
2009,114,23.69
2010,114,18.94
2011,114,14.29
2012,114,11.89
2013,114,12.09
2014,114,14.83
2015,114,32.66
2016,114,28.56
2017,114,35.43
2018,114,17.37
2019,114,19.47
2020,114,7.3
2008,115,47.78
2009,115,35.48
2010,115,56.6
2011,115,49.65
2012,115,53.5
2013,115,74.6
2014,115,72.78
2015,115,101.84
2016,115,111.62
2017,115,111.62
2018,115,111.62
2019,115,111.62
2020,115,111.62
2008,116,173
2009,116,187.88
2010,116,293.99
2011,116,129.06
2012,116,101.49
2013,116,148.55
2014,116,128.83
2015,116,130.9
2016,116,119.95
2017,116,229.63
2018,116,171.62
2019,116,154.55
2020,116,173.58
2008,117,
2009,117,
2010,117,69.07
2011,117,40.53
2012,117,49.23
2013,117,79.78
2014,117,63.18
