Date,Id,working capital
2013,86,-829895
2014,86,482768
2015,86,536627
2016,86,408319
2017,86,290750
2018,86,149252
2019,86,256927
2020,86,345161
2008,87,900
2009,87,-3637
2010,87,-14331
2011,87,-13893
2012,87,-26647
2013,87,-31977
2014,87,-28166
2015,87,-41601
2016,87,-1960
2017,87,-3795
2018,87,-5430
2019,87,-6279
2020,87,
2008,88,5202
2009,88,4914
2010,88,1472
2011,88,-1080
2012,88,-5037
2013,88,-4452
2014,88,-1309
2015,88,-2216
2016,88,-4763
2017,88,-3952
2018,88,-2724
2019,88,
2020,88,
2008,89,140045
2009,89,98800
2010,89,93960
2011,89,77118
2012,89,62947
2013,89,47353
2014,89,50625
2015,89,47307
2016,89,63064
2017,89,45075
2018,89,64920
2019,89,
2020,89,
2008,90,27436
2009,90,44459
2010,90,48454
2011,90,57462
2012,90,61728
2013,90,82649
2014,90,142389
2015,90,139482
2016,90,240240
2017,90,262289
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,-1433
2013,91,-1521
2014,91,-4850
2015,91,-4951
2016,91,-1209
2017,91,-1002
2018,91,4566
2019,91,-1225
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,2101
2015,92,1909
2016,92,896
2017,92,-494
2018,92,194
2019,92,-1597
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,22068
2009,95,5222
2010,95,7278
2011,95,14420
2012,95,-49476
2013,95,111532
2014,95,138663
2015,95,106971
2016,95,102111
2017,95,-234213
2018,95,-71711
2019,95,-235702
2020,95,169617
2008,96,-159114
2009,96,-190743
2010,96,-188406
2011,96,-153083
2012,96,-129841
2013,96,-112695
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,9079
2009,97,6404
2010,97,-3395
2011,97,-42280
2012,97,-871
2013,97,3269
2014,97,5430
2015,97,1013
2016,97,-3581
2017,97,-3202
2018,97,-3751
2019,97,-7489
2020,97,-14119
2008,98,69138
2009,98,113601
2010,98,160292
2011,98,188328
2012,98,189356
2013,98,240081
2014,98,308833
2015,98,411892
2016,98,263500
2017,98,340121
2018,98,276408
2019,98,408282
2020,98,553704
2008,99,14101
2009,99,23064
2010,99,12884
2011,99,5243
2012,99,16850
2013,99,10685
2014,99,19965
2015,99,27537
2016,99,37288
2017,99,41429
2018,99,
2019,99,
2020,99,
2008,100,268600
2009,100,260304
2010,100,329860
2011,100,412687
2012,100,388160
2013,100,400079
2014,100,447963
2015,100,552761
2016,100,632570
2017,100,784451
2018,100,789961
2019,100,1014504
2020,100,765498
2008,101,14015
2009,101,17211
2010,101,16862
2011,101,14086
2012,101,10448
2013,101,12487
2014,101,13276
2015,101,13918
2016,101,14626
2017,101,15523
2018,101,13488
2019,101,12460
2020,101,25607
2008,102,21958
2009,102,28004
2010,102,35328
2011,102,16240
2012,102,21662
2013,102,9431
2014,102,-3129
2015,102,5210
2016,102,-14753
2017,102,-7912
2018,102,3267
2019,102,13024
2020,102,66519
2008,103,-9431
2009,103,-16762
2010,103,-35723
2011,103,-40672
2012,103,-35625
2013,103,-31500
2014,103,-15358
2015,103,-15611
2016,103,-28181
2017,103,-37445
2018,103,-58228
2019,103,
2020,103,
2008,104,13408
2009,104,18628
2010,104,19886
2011,104,22143
2012,104,20399
2013,104,32454
2014,104,25404
2015,104,26891
2016,104,28037
2017,104,34709
2018,104,34756
2019,104,75157
2020,104,56341
2008,105,3402
2009,105,2520
2010,105,1449
2011,105,-45
2012,105,-406
2013,105,607
2014,105,3274
2015,105,3741
2016,105,1585
2017,105,1907
2018,105,2738
2019,105,2167
2020,105,8372
2008,106,68120
2009,106,76364
2010,106,79094
2011,106,101554
2012,106,90063
2013,106,116832
2014,106,120379
2015,106,141129
2016,106,131549
2017,106,131520
2018,106,161757
2019,106,145700
2020,106,197809
2008,107,8061
2009,107,-17879
2010,107,-35845
2011,107,-35065
2012,107,-39783
2013,107,-7413
2014,107,-54583
2015,107,-63565
2016,107,-45084
2017,107,-45055
2018,107,-41684
2019,107,-41908
2020,107,30049
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,
2014,108,
2015,108,86919
2016,108,164508
2017,108,151832
2018,108,378756
2019,108,290393
2020,108,277329
2008,109,
2009,109,8111
2010,109,-57098
2011,109,1642
2012,109,7763
2013,109,8448
2014,109,38066
2015,109,56909
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,-2983
2009,110,-9189
2010,110,-11834
2011,110,-6066
2012,110,-34315
2013,110,-2763
2014,110,-4471
2015,110,-2638
2016,110,-3777
2017,110,-595
2018,110,-364
2019,110,-586
2020,110,39
2008,111,33478
2009,111,17684
2010,111,-16391
2011,111,-4049
2012,111,-12660
2013,111,
2014,111,
2015,111,
2016,111,
2017,111,
2018,111,
2019,111,
2020,111,
2008,112,33668
2009,112,75294
2010,112,17910
2011,112,46181
2012,112,42173
2013,112,19252
2014,112,56605
2015,112,81504
2016,112,120420
2017,112,144656
2018,112,161185
2019,112,125580
2020,112,
2008,113,63645
2009,113,39054
2010,113,21747
2011,113,26592
2012,113,5977
2013,113,21495
2014,113,56412
2015,113,40101
2016,113,24052
2017,113,44460
2018,113,69820
2019,113,50752
2020,113,79091
2008,114,12424
2009,114,12824
2010,114,15617
2011,114,14078
2012,114,16117
2013,114,12915
2014,114,14031
2015,114,17807
2016,114,19542
2017,114,12909
2018,114,8904
2019,114,427
2020,114,
2008,115,13824
2009,115,6153
2010,115,9111
2011,115,14704
2012,115,11551
2013,115,9884
2014,115,7003
2015,115,19731
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,34776
2009,116,36300
2010,116,41347
2011,116,35058
2012,116,22549
2013,116,28432
2014,116,29084
2015,116,28712
2016,116,43280
2017,116,44990
2018,116,50550
2019,116,45994
2020,116,28060
2008,117,15216
2009,117,9278
2010,117,27544
2011,117,39166
2012,117,41489
2013,117,37951
2014,117,46948
2015,117,51388
2016,117,33472
2017,117,15636
2018,117,21577
2019,117,19136
2020,117,57441
2008,118,19637
2009,118,-194471
2010,118,-48036
2011,118,-49063
2012,118,-64578
2013,118,-61006
2014,118,-128938
2015,118,-63294
2016,118,-42487
2017,118,-23331
2018,118,32307
2019,118,37055
2020,118,320197
2008,119,86019
2009,119,27273
2010,119,121623
2011,119,120527
2012,119,167979
2013,119,168899
2014,119,196128
2015,119,317234
2016,119,366542
2017,119,302528
2018,119,344100
2019,119,476634
2020,119,576153
2008,120,
2009,120,
2010,120,
2011,120,475024
2012,120,499905
2013,120,318256
2014,120,675617
2015,120,329833
2016,120,105826
2017,120,-172178
2018,120,313599
2019,120,-114545
2020,120,804285
2008,121,
2009,121,
2010,121,
2011,121,19729000
2012,121,19945000
2013,121,12735000
2014,121,13630614
2015,121,13150038
2016,121,11860428
2017,121,9934608
2018,121,10602648
2019,121,11649520
2020,121,10493028
2008,122,391739
2009,122,467559
2010,122,657333
2011,122,844327
2012,122,890776
2013,122,870509
2014,122,912277
2015,122,1137700
2016,122,1240486
2017,122,910600
2018,122,1163482
2019,122,1227500
2020,122,1036824
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,3579
2015,123,5763
2016,123,6707
2017,123,4137
2018,123,-5754
2019,123,-6530
2020,123,4952
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,-314
2016,124,-208
2017,124,-1378
2018,124,-3418
2019,124,-1352
2020,124,
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
2013,125,
2014,125,
2015,125,102409
2016,125,91879
2017,125,95567
2018,125,119351
2019,125,74335
2020,125,154260
2008,126,186558
2009,126,277409
2010,126,255836
2011,126,173599
2012,126,182747
2013,126,-97584
2014,126,48479
2015,126,72127
2016,126,44979
2017,126,63391
2018,126,61200
2019,126,-45286
2020,126,14428
2008,127,-47691
2009,127,-43886
2010,127,-104697
2011,127,-242483
2012,127,95749
2013,127,100109
2014,127,105337
2015,127,122031
2016,127,133266
2017,127,147623
2018,127,170643
2019,127,180060
2020,127,186325
2008,128,-339999
2009,128,-13497
2010,128,353064
2011,128,251283
2012,128,674325
2013,128,550883
2014,128,773740
2015,128,794639
2016,128,121709
2017,128,268047
2018,128,722511
2019,128,
2020,128,
2008,129,-28747
2009,129,-54366
2010,129,-45026
2011,129,-77510
2012,129,-38821
2013,129,-78008
2014,129,23190
2015,129,-26405
2016,129,-100096
2017,129,-52518
2018,129,
2019,129,
2020,129,
2008,130,35295
2009,130,95775
2010,130,165518
2011,130,201081
2012,130,253835
2013,130,281105
2014,130,335222
2015,130,403155
2016,130,458571
2017,130,484703
2018,130,526176
2019,130,
2020,130,
2008,131,-10315
2009,131,-7320
2010,131,-6375
2011,131,-8636
2012,131,-2476
2013,131,-2204
2014,131,5351
2015,131,-5779
2016,131,-11719
2017,131,-22440
2018,131,-33381
2019,131,-45064
2020,131,12158
2008,132,-1141993
2009,132,-129348
2010,132,-889600
2011,132,-1203600
2012,132,1247500
2013,132,38190
2014,132,420670
2015,132,654350
2016,132,-410395
2017,132,3045144
2018,132,1506737
2019,132,-394000
2020,132,-1249000
2008,133,-11658
2009,133,-7304
2010,133,3023
2011,133,-48639
2012,133,-7174
2013,133,-283443
2014,133,-352432
2015,133,-320633
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,-301126
2009,134,34214
2010,134,411035
2011,134,331463
2012,134,383657
2013,134,810170
2014,134,986003
2015,134,1026511
2016,134,239781
2017,134,419396
2018,134,830129
2019,134,408502
2020,134,897448
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,-7324
2013,135,-18339
2014,135,-14993
2015,135,31753
2016,135,9164
2017,135,3225
2018,135,-5449
2019,135,-8837
2020,135,11497
2008,136,33910
2009,136,22247
2010,136,19866
2011,136,15740
2012,136,16598
2013,136,12567
2014,136,14749
2015,136,19314
2016,136,29360
2017,136,27825
2018,136,37123
2019,136,32464
2020,136,12459
2008,137,6772
2009,137,5929
2010,137,6056
2011,137,8554
2012,137,10946
2013,137,12107
2014,137,12828
