Date,Id,operating income
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,-2110
2013,91,-1346
2014,91,-2757
2015,91,-2066
2016,91,3591
2017,91,3653
2018,91,4622
2019,91,2841
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,579
2015,92,446
2016,92,-1271
2017,92,-1962
2018,92,681
2019,92,-2229
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,41910
2009,95,53498
2010,95,67481
2011,95,98036
2012,95,97085
2013,95,73520
2014,95,92371
2015,95,107810
2016,95,136904
2017,95,151140
2018,95,159858
2019,95,200985
2020,95,158310
2008,96,-43512
2009,96,-37722
2010,96,-37859
2011,96,-44278
2012,96,-34892
2013,96,-31422
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,6573
2009,97,5299
2010,97,-6754
2011,97,-2445
2012,97,-2204
2013,97,3024
2014,97,1890
2015,97,954
2016,97,965
2017,97,-1880
2018,97,1532
2019,97,3936
2020,97,-235
2008,98,70797
2009,98,104297
2010,98,148882
2011,98,161028
2012,98,140159
2013,98,132373
2014,98,132965
2015,98,156071
2016,98,177185
2017,98,197556
2018,98,209851
2019,98,222464
2020,98,330111
2008,99,9787
2009,99,12608
2010,99,13275
2011,99,11256
2012,99,9237
2013,99,9718
2014,99,13598
2015,99,10819
2016,99,10597
2017,99,-7457
2018,99,
2019,99,
2020,99,
2008,100,68064
2009,100,80767
2010,100,133683
2011,100,180262
2012,100,173656
2013,100,194969
2014,100,213299
2015,100,232673
2016,100,242488
2017,100,252252
2018,100,252535
2019,100,214552
2020,100,283695
2008,101,1642
2009,101,2040
2010,101,454
2011,101,268
2012,101,-2093
2013,101,1476
2014,101,-827
2015,101,1044
2016,101,872
2017,101,10
2018,101,-1204
2019,101,401
2020,101,4689
2008,102,2102
2009,102,3764
2010,102,8918
2011,102,5451
2012,102,8590
2013,102,8644
2014,102,8681
2015,102,13749
2016,102,5186
2017,102,13311
2018,102,6625
2019,102,15234
2020,102,13373
2008,103,-14070
2009,103,-999
2010,103,-6312
2011,103,807
2012,103,2782
2013,103,6347
2014,103,6452
2015,103,11601
2016,103,10144
2017,103,1298
2018,103,-36153
2019,103,
2020,103,
2008,104,11524
2009,104,11850
2010,104,11185
2011,104,13193
2012,104,11462
2013,104,5247
2014,104,6560
2015,104,6382
2016,104,5889
2017,104,3922
2018,104,6777
2019,104,-5532
2020,104,-5685
2008,105,1175
2009,105,-1928
2010,105,-970
2011,105,-978
2012,105,302
2013,105,593
2014,105,374
2015,105,-673
2016,105,-287
2017,105,1011
2018,105,-123
2019,105,-189
2020,105,696
2008,106,22576
2009,106,12961
2010,106,12481
2011,106,8944
2012,106,13261
2013,106,20024
2014,106,17151
2015,106,21505
2016,106,24093
2017,106,26936
2018,106,30428
2019,106,20274
2020,106,29578
2008,107,-28661
2009,107,-25863
2010,107,-3009
2011,107,-13557
2012,107,-11675
2013,107,-20349
2014,107,-18889
2015,107,-15872
2016,107,1225
2017,107,1912
2018,107,773
2019,107,-785
2020,107,1135
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,-745
2014,108,-2560
2015,108,26793
2016,108,21443
2017,108,35102
2018,108,40488
2019,108,56424
2020,108,62104
2008,109,
2009,109,14388
2010,109,20452
2011,109,27287
2012,109,30216
2013,109,29471
2014,109,22866
2015,109,32756
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,-5231
2009,110,-6841
2010,110,-7274
2011,110,-3433
2012,110,-3336
2013,110,-165
2014,110,-494
2015,110,-768
2016,110,-1710
2017,110,-1433
2018,110,-58
2019,110,-282
2020,110,51
2008,111,3753
2009,111,-5619
2010,111,-4636
2011,111,-3342
2012,111,-4315
2013,111,-2076
2014,111,-782
2015,111,-1887
2016,111,-2343
2017,111,-1804
2018,111,-453
2019,111,-2494
2020,111,-16832
2008,112,67945
2009,112,70520
2010,112,45871
2011,112,69347
2012,112,79792
2013,112,89536
2014,112,105100
2015,112,109458
2016,112,132485
2017,112,170666
2018,112,206682
2019,112,189691
2020,112,
2008,113,36274
2009,113,-32049
2010,113,-1553
2011,113,4941
2012,113,-1476
2013,113,12362
2014,113,22390
2015,113,39832
2016,113,51540
2017,113,60428
2018,113,57260
2019,113,27996
2020,113,8234
2008,114,-6730
2009,114,-6936
2010,114,-5300
2011,114,-4669
2012,114,-1666
2013,114,-3138
2014,114,2574
2015,114,2028
2016,114,1805
2017,114,-4411
2018,114,-2397
2019,114,-5890
2020,114,
2008,115,7586
2009,115,-7504
2010,115,122
2011,115,2612
2012,115,4532
2013,115,3275
2014,115,3382
2015,115,8622
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,20709
2009,116,13722
2010,116,22052
2011,116,13339
2012,116,5233
2013,116,7831
2014,116,9938
2015,116,10298
2016,116,9760
2017,116,14804
2018,116,13933
2019,116,8293
2020,116,13029
2008,117,11264
2009,117,11302
2010,117,12770
2011,117,12773
2012,117,16581
2013,117,11229
2014,117,8135
2015,117,9534
2016,117,-2848
2017,117,193
2018,117,1251
2019,117,3971
2020,117,-7888
2008,118,34952
2009,118,-36649
2010,118,11162
2011,118,24186
2012,118,7234
2013,118,25482
2014,118,14698
2015,118,10959
2016,118,18495
2017,118,30712
2018,118,29538
2019,118,1321636
2020,118,8188
2008,119,69641
2009,119,23269
2010,119,47881
2011,119,68250
2012,119,74547
2013,119,70569
2014,119,91804
2015,119,123763
2016,119,139161
2017,119,182168
2018,119,216884
2019,119,227099
2020,119,189076
2008,120,
2009,120,
2010,120,
2011,120,36084
2012,120,55468
2013,120,165127
2014,120,172692
2015,120,-71769
2016,120,248482
2017,120,223480
2018,120,255875
2019,120,129223
2020,120,95845
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,2063000
2013,121,1985000
2014,121,1816859
2015,121,1398976
2016,121,1132525
2017,121,1278164
2018,121,1734763
2019,121,1732937
2020,121,808020
2008,122,159256
2009,122,74252
2010,122,88308
2011,122,237507
2012,122,161836
2013,122,90039
2014,122,146156
2015,122,61157
2016,122,-17694
2017,122,1091
2018,122,19233
2019,122,25917
2020,122,20370
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,1192
2015,123,1290
2016,123,1091
2017,123,84
2018,123,-2184
2019,123,1897
2020,123,2802
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,2091
2016,124,1620
2017,124,624
2018,124,836
2019,124,655
2020,124,-9269
2008,125,
2009,125,
2010,125,
2011,125,
2012,125,
