Date,Id,EBITDA
2010,133,43107
2011,133,29683
2012,133,7258
2013,133,-994
2014,133,-8081
2015,133,-37973
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,389061
2009,134,505377
2010,134,513876
2011,134,572553
2012,134,1022194
2013,134,596864
2014,134,630450
2015,134,674286
2016,134,684387
2017,134,768498
2018,134,795904
2019,134,658230
2020,134,458950
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,12893
2013,135,14835
2014,135,19571
2015,135,19275
2016,135,25292
2017,135,31304
2018,135,34798
2019,135,41114
2020,135,-7202
2008,136,12573
2009,136,-1630
2010,136,4606
2011,136,-392
2012,136,8046
2013,136,1779
2014,136,7785
2015,136,18091
2016,136,22793
2017,136,25056
2018,136,5033
2019,136,6170
2020,136,35237
2008,137,5026
2009,137,3102
2010,137,4766
2011,137,6315
2012,137,7058
2013,137,7762
2014,137,7491
2015,137,8286
2016,137,9702
2017,137,9325
2018,137,10690
2019,137,13151
2020,137,4683
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
2008,139,-1170
2009,139,4118
2010,139,3577
2011,139,7593
2012,139,3812
2013,139,-8655
2014,139,6889
2015,139,8943
2016,139,18247
2017,139,21910
2018,139,-44852
2019,139,16135
2020,139,16230
2008,140,8776
2009,140,11991
2010,140,22458
2011,140,9215
